label,sentence1,sentence2,sample_index
0,A couple is kissing on a bridge.,A couple fights outside a restaurant.,478
0,Three firemen wearing yellow suits one pointing up.,four firemen are buying groceries.,481
1,"A person paints a photo of a dog, based on a photo of a dog.",A person paints a dog based on a photo.,484
1,A person standing outside an old building with headphones on.,A person is near a building.,488
1,A young lady plays the harpsichord while signing into a microphone.,There is someone playing a musical instrument.,489
0,A motorcycle is lying on the ground near a fire engine.,This motorcycle will never roll again.,490
0,people dressed in green and white dancing,People dancing during a St. Patricks day parade.,496
1,"Three men playing soccer, their uniforms indicating that one of them is from one team and the other two from the other, are all after the ball.",Three people are playing sports.,497
1,People sit outside a building.,People are sitting.,502
0,Nurses stand around a cart looking at a ball and other objects.,the cat eats chips,509
0,A large group of people explore around a rock structure.,A group of people are seeing a movie in the theater.,514
1,A person walking down a street.,The person is on the street outside.,519
0,A child looks over her mother's shoulder.,A small child cries because his mother is angry.,520
0,A fat white boy in a tank top swings at a checkered black and white punching bag at a carnival while people look on and walk by in the background.,The boy is swinging at a friend.,528
1,"A woman with short, dark hair carrying a pink bag and wearing red shoes stands in the middle of a street.",A woman is outside.,531
1,A young baby crawls across the wood floor towards the water bottle.,A baby is crawling,534
1,"An artist is working on his very contemporary looking piece of art, and is focusing very intensely on the work at hand.",an artist is working,538
1,People taking photos with camera.,Individuals taking pictures with a camera.,547
1,A child is holding a colorful object and overlooking a crowd of people while sitting on the shoulders of an older person.,A child is sitting on the shoulders of someone older than them and near a crowd of people,548
0,Three monks walking in what looks to be a foreign country in appropriate black robes and sandals.,The monk is asleep in the middle of the disco floor.,550
0,A person riding a bike in the dirt.,A man is racing his car.,551
1,A man is standing up holding a green bowling ball with his right hand.,A man is bowling.,559
1,Women with short skirt standing on sidewalk.,A woman is standing on the sidewalk.,562
0,A collage of stop-action surfing pictures.,they were married,565
1,Three people pose with their political signs out in public.,Three people are in public posing with their political signs.,571
0,Have a quick chat and smoke break.,People are running in a marathon for lung cancer awareness.,573
0,"A man in a black hat, sunglasses and sweatshirt is playing the harmonica.",The man in the black hat is eating a hot dog.,579
0,A woman holds a black and pink striped bag among a crowd of men on the street.,A woman and man is having a romantic picnic.,582
0,A young boy poses for the camera at an amusement park while riding a ride.,A boy is surprised by the camera photo as he is screaming on a rollercoaster.,583
1,A man working on a circuit board,A man indoors working.,594
0,A small baby is in a plastic cradle.,the baby is in an antique oak cradle.,596
1,Three adults wearing cold weather gear.,Three adults are wearing gear.,602
0,A dog swims holding a tennis ball in its mouth.,A black lab swims holding a tennis ball.,608
1,"A crowd of people and their families are gathered in a field near an arena, watching an event on an outdoor screen.",A group of people are outside watching a screen.,615
0,"A skateboarder wearing black jeans, white t-shirt and red ball cap coming off the lip of a ramp and suspended in the air.",The skateboard has yellow wheels.,616
1,"A child in a yellow jacket gazes at something he holds in his hand, which he has lifted from among a set of boxes of items arranged on a table in front of him.",A child is in a yellow jacket.,619
0,A guy showing his bike to a kid.,The guy mowes the lawn at night.,620
1,A little girl is pushing her scooter through a grassy tree lined field.,A girl is outdoors.,621
0,"A woman in a black shirt, jean shorts and white tennis shoes is bowling.",A woman is bowling with a pink bowling ball.,628
1,A child runs barefoot across a blacktop parking lot.,A child running on the parking area,630
0,A barefooted boy on an uncrowded beach.,A boy is chasing a dog on the sidewalk.,635
0,"On garden lawn, black dog is retriving an object.","Inside, the black dog is sleeping.",640
1,A man wearing a blue and white uniform clutching two yellow ski handles.,A man in uniform is holding ski handles.,652
0,Man in suit jacket and tie walking.,A man in a suit jacket is sleeping on the bus.,657
1,Two children play a game together.,Two people are playing a game.,663
1,A woman selling hats outside.,A person selling hats outside.,673
1,Two men wearing hats are shown at the front of a crowd of people.,There are two men in front of the crowd.,687
1,"A group of people, several of which are wearing fuzzy pink antennae.",A group of people are wearing antennae.,688
0,A girl in very interesting shoes and a blue dress walks down the street.,A girl is walking down the street to her friends house.,693
1,A young woman pours a shot of alcohol.,A woman pours a shot of alcohol.,696
0,A man in blue is in the top balcony looking down.,the guy looks down from the balcony at his wife,702
1,The two dogs are running toward the camera.,There are two dogs.,705
1,The large gray colored dog is jumping on the beach.,a dog is jumping,708
0,A group of people gathering in front of a clothing store.,A bunch of people are sitting inside a restaurant.,711
0,"A girl in a striped shirt is drinking from a bottle, while a girl behind her talks on a cellphone.",The girl talking on the phone is the big sister of the girl in the striped shirt.,712
0,A group of people riding horses in green vests.,Some people are having lunch.,720
1,"A group of men, one with a bike, on a dock with tires and a rope.","A group of men, one with a bike, on a dock",722
0,A hot girl talking to her friends while walking.,The pretty girl never has to pay for a thing.,728
0,A group of basketball players jump in the air for the ball.,The African Americans players jump in the air for the ball.,732
1,A blond woman and a brown-haired man kissing.,Two people are kissing,737
1,Man with a camouflage hat is throwing knives at a target.,a man is throwing knives,743
0,two motorcyclists riding tandom on a biek down the street.,Two friends sit in a cafe drinking coffee.,753
0,Six men seat in a wooden boat while two are the background surrounded by logs and a green landscape,the men are at the bar,758
1,A man in bright orange shorts is skateboarding along a course with cones as two people observe in the background.,man on skateboard,759
1,Three people going up an escalator and a man with a shopping cart coming down the escalator.,People are going up an escalator,762
1,A skier is skiing down a mountain wearing goggles and a red anorak.,A skier skiing.,766
1,A man wearing a construction vest is working on laying pipe on site.,A man is working on a construction site.,772
1,A short-haired woman in a dimly lit room is holding a microphone.,A woman is holding a microphone,775
1,People stand outside near a concrete wall and a window.,People are outside.,777
0,A blond child jumping rope on a sidewalk.,The child playing has black hair.,783
1,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a tool.,784
1,A man and a woman is by the signpost.,Humans near signage.,785
0,"Cheerleaders, building a pyramid, pose in front of a crowd.",The cheerleaders are building a tree fort.,786
1,a lady wearing a black dress carrying a white cross,A lady is carrying a cross.,789
1,A city street with cars parked by the meters and people walking and congregating under a pavilion type area.,A city street with cars and people on it.,817
0,A football player folding a football during a game in the mud,The girl eats pie.,820
1,A man wearing a leather jacket and a bandanna approaches a parked motorcycle outside of a building.,a man in a jacket,827
0,A man in a white shirt and blue shorts and a man in a red shirt and white shorts playing soccer.,Messi left the defender in his wake as he drilled in the last goal of his hat-trick for Barcelona.,832
0,A woman is bathed in red light on stage.,The woman is singing a song in the theater.,833
0,People are sitting down in front of a white banner.,People are running in a marathon.,835
1,A view of a boat from another boat on the water.,A boat is on the water.,838
0,A wakeboarder in the ocean is in the middle of a flip.,The wakeboarder is practicing for a tournament.,846
0,A group of young boys on opposing teams are playing soccer.,Two teams are playing soccer in a championship game.,849
1,"A young boy in a red ""U.S.A."" t-shirt plays with a toy circuit board kit.",A boy is playing with a circuit board kit.,860
1,A young child in a pink coat erasing a sign out on a sidewalk.,A child is outside.,870
1,Three people in a field of brown plants.,There's some people outdoors.,871
0,A band plays at a venue along the water.,The band sits idly in a hospital.,872
0,The dog is leaping into the water.,A lion eats a gazelle.,874
1,Bikers enjoying the landscape in the desert.,bikers enjoy landscape,883
1,A man in a white shirt and white hat holding a brush and a bag in his hands.,A man in a shirt and hat holding a brush.,888
0,A crowd of people gathered in front of a building at night.,The group of people are waiting for the concert doors to open.,889
1,A white dog is walking through a river that runs through a rocky landscape.,An animal is outdoors.,893
0,A black dog jumping off a dock into water.,A brown and white dog is jumping into the water on a Tuesday afternoon.,912
0,"Someone on a dirt bike, high in the air, near a building.",The person is taking a bath.,926
0,A group of people stand and look at a kid who jumped.,The group of people are watching the kid who just jumped off the top of a jungle gym and broke his arm.,927
0,Two women talk and laugh while people walk by.,two ladies laugh and walk in the summer,929
0,A dog is running in the dirt and snow.,A puppy is asleep on a couch.,933
0,"Two young boys play besides a lake, throwing rocks into the water.",Two boys are skipping stones while they wait for their fathers to come back with the boat.,940
1,A dog runs in a field.,There is an animal running,942
0,Man about to kick football on a field.,A man swings his golf club.,943
1,A group of people seated at a picnic table under a tent space decorated with flags and stars.,A group of people seated at a picnic table under a flag decorated tent.,958
1,A man playing an acoustic guitar on a stone ledge in public with his belongings by his side.,A man is outside playing music.,960
0,A black dog lays next to a ball.,A white cat jumps over a stick,966
1,A little boy with rain boots takes a walk in the park.,A boy with rain boots is outside.,974
1,A woman and child making decorations outside.,A woman and child making decorations.,985
0,A man and woman are having a conversation while sitting on a tree stump in the woods.,They are in the cabin of an airplane.,986
0,The man is carrying tins and taking them somewhere.,The man is crying over the collectible tins scattered all over the floor.,987
1,Woman holding a picture with her head turned.,Woman holds a picture.,997
0,A kid jumping over a ditch in the forest.,A kid is swimming in a lake.,1000
0,There are kids playing in the dirt beside the road.,Clean children ride their bikes to church.,1005
1,"Three people standing near a door, with silly string cans.",Three people with silly string cans.,1013
0,a man in brown jacket and blue cap is washing a black jacket in fountain.,a sad man in brown jacket and blue cap is washing a black jacket in fountain.,1023
1,man wearing brown pants and light blue shirt carrying flags.,A person carrying flags.,1050
1,Two adolescents play football in a residential yard while an older man watches.,There are people playing football.,1051
0,"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",The crowds are at an indoor swimming meet.,1062
0,A man and woman stand in front of a large red modern statue.,Some people are sitting down in an art museum.,1070
0,"Two young, barefoot men in white square off against each other in an impromptu arena.",Two men are sitting down to a meal at a restaurant.,1075
0,A man climbing a cliff with a forest in the background.,dog chased by lion,1081
0,"A person wearing a yellow t-shirt, inside a building has on a motorcycle helmet.",The person is wearing solid black.,1096
0,A girl with a green scarf on her head sits on cement steps.,A bird hops onto a trashcan.,1102
1,A cameraman recording yet another man while he makes a speech.,A man is recording someone making a speech.,1110
0,Street performer by the beach on stilts playing the tuba.,Their job was to go to the hospital.,1111
1,"A festival is going on right outside a lake, with several drummers in red shirts and a man on stilts playing the drums.",An outdoors festival with musicians playing music.,1113
1,A furry brown dog carries his toy in mouth outside.,A dog has a toy.,1120
1,A woman with glasses raised is staring with her mouth open and there is a man with a child behind her.,A woman is in front of a man and a child.,1121
1,A woman is kneeling on the ground made of stone at the edge of a forest.,There is a person outdoors.,1127
1,A boy does skateboard tricks on a railing.,boy on skateboard,1131
1,Workers wearing yellow and white hard hats working on tracks.,People are working.,1134
0,A man wearing a gray t-shirt and blue jeans stands ready to hit a golf ball at a driving range.,A man is hoping he will hit a long distance so he win a bet.,1135
1,A young boy in a yellow shirt plays with some equipment.,A young person in a yellow shirt plays with some equipment.,1136
0,A woman walking down the street with a purse in one hand and wearing a dress.,A woman wears jeans and a t-shirt to dinner.,1137
1,people enjoying their meals at an expensive restaurant.,There are people at a restaurant.,1144
0,A photo of a happy gentleman driving what looks like a large truck.,A photo of a semi truck driver smiling as he makes his first delivery.,1146
1,"A man, wearing a helmet, biking though grass and dirt.",A man biking.,1148
0,Musicians play at night in front of an old-looking building.,Musicians are performing rock music in front of a building.,1151
1,A statue of a young woman with her hands behind her head.,Statue of a woman.,1169
1,Five members of a band are playing a song.,the band plays a song,1176
0,The skateboarder does a trick on a ramp.,A small boy does a kick flip off a large brown ramp.,1177
1,A man and woman in a kitchen with plastic cups of wine or champagne.,A man and woman in a kitchen with plastic cups.,1186
1,Man works at microphone with a group of informally attired musicians under the lead of a conductor.,A group of people with instruments are near a man with a microphone.,1211
0,A young blond woman in a polka-dot outfit and black glasses sitting in a restaurant.,The woman is driving an ambulance.,1215
0,Several different colored dogs running in a snowy field,the dogs are chasing their owner,1224
0,A dog is running through high grass with a woman wearing red in the background.,The woman is in the high grass with her cat.,1225
0,a crowd of people sitting under a tarp eating.,A number of people eat with underneath a tarp at a wedding.,1230
1,A man wearing red and yellow riding a red sport bike driving on a racetrack.,The man is riding a sport bike.,1231
0,The black and white dog is herding the sheep.,The dog has no legs and stays on the porch all day.,1233
0,A woman in a red shirt laughing while leaning on a kitchen counter.,A woman is laughing at her son getting food all over his face in the kitchen.,1236
0,Two street performers dance and play the accordion in front of a rather large crowd.,The two people are busking.,1237
0,Brown hair little girl dressed in a green and white shirt and blue jeans plays with balls.,The little girl is running through the living room.,1242
1,A group of people stand below black and white patterned decorations.,The group is standing below some decorations.,1258
0,Two dragsters race down the track in front of a crowd of spectators watching the drag race from the stands.,The people in the stands are watching a ballet.,1260
0,"A girl wearing a black and red, fur hooded jacket looks through a microscope.",The girl is eating lunch.,1266
0,People sit at the outdoor tables under a brown awning in a rural setting.,The people are inside the tour bus.,1285
1,Young boy with blond-hair laughing while swinging at the park.,A young boy is at the park.,1294
0,A middle-age woman is conducting a music group in refined surroundings.,A woman is playing with a punk band.,1302
1,"A man with white hair, blue jeans, and a white T-shirt chiseling an object.",The man chiseled an object.,1304
0,A yellow dog and a black and white dog are running in the dirt.,the dogs are having a pie in bed,1309
1,A sledder is making a jump over other kids lying in the snow.,A person sledding in the snow.,1312
0,A woman standing outside on a sunny day looking at something wearing blue jeans and sandals and a tank top.,A woman stands outside because she's looking for her son.,1318
1,"A boat is just off the beach with three people standing on it, and the two people loading something on the boat.",a boat off the beach,1324
0,A man is holding a blue fishing net in front of some rocks.,A man is playing basketball.,1328
1,A girl in a white jacket is looking at a picture.,A girl in a jacket is looking at a picture.,1332
1,A gray dog is walking through a grassy field.,There is an animal outside.,1343
0,A woman with a black jacket and headphones standing next to a building that is under construction.,the band stayed home to play poker,1347
0,An infant lays on a bed with it's mouth open.,The infant is driving a car.,1354
1,A man in black clothing plays a trumpet.,A man is playing an instrument.,1355
1,A girl plays with a necklace as the sun shines behind her.,A girl plays with her necklace.,1357
0,"A hockey player crouches slightly, with a full crowd in the background.",A cat is eating spaghetti.,1368
1,An older man in a gray shirt with a white long-sleeve shirt under it holding up a small wooden cabinet.,An older man is holding something.,1372
1,A worker in a white straw hat with pink gloves on tending a small garden.,A person in a white hat is outdoors.,1384
1,A snowboarder dressed in yellow makes a jump.,There is a snowboarder.,1388
0,"A man on a cellphone walking past four signs that all say ""NEVER SLEEP AGAIN""","A man reading a book, running past five signs that say, ""Run, Your Hair is On Fire!""",1392
0,Construction workers working at a railroad.,The workers are dancing in a nightclub.,1399
1,An elderly man communicates with a man and a woman.,A human communicating,1408
0,Synchronized swimmer water-dancing in a pool during a performance.,The swimmer is swimming through lava.,1409
0,Two men are watching others on a beach shore.,A man drives a limo.,1411
0,A middle-aged woman dressed in black cuts from a page in a book using elementary school scissors.,The woman was just taking the pot roast out of the oven.,1412
0,Two older women are sitting on a bench in front of a stone building and enjoying box lunches.,The women are eating salads.,1413
1,A woman with a red sweatshirt is riding in a sailboat that is tipping over.,A woman riding a sailboat,1414
0,A bunch of people are gathered in a field overlooking a body of water.,a group of friends looking at their favorite lake,1416
0,"Africans in tribe clothes, walking pass a green.",Africans are shooting guns at a bear.,1419
1,Two female dancers in matching uniforms dancing.,There are two females dancing.,1420
0,"Three men in yellow hard hats, two women, and a young boy are standing on an elevated platform viewing something below.",The group is watching the demolition of the old stadium.,1421
1,"Two women are holding umbrellas while walking down a sidewalk, One is holding a child.",Two women are outside.,1424
0,a small dog jumping along the sand,"A little dog is at the beach, jumping for the frisbee.",1425
1,A pre-school-aged girl and a toddler boy are playing with their shovels beside a large pile of snow.,A girl and boy are playing outside.,1427
1,A little boy rides a bike down a hill on a miniature dirt bike.,A little boy is riding outside.,1429
1,A person holds a red gelatinous substance in a strainer.,Someone is holding a strainer with something in it.,1430
0,A snowboarder soars through the air.,A person is talking a walk in the summer.,1432
1,A girl wearing a pink and black shirt and jeans fixes her hair before walking up the stairs.,A person with a shirt,1433
1,a man is performing a jump on a skateboard in the park.,a man is outdoors.,1437
1,A man wearing a leather coat and a white shirt.,A man is wearing clothes.,1438
1,A child runs near some trees.,A child is running near trees.,1439
1,Man in black with one foot on top of a ladder and arms performing a task on a storefront.,A man performs a task.,1440
1,A woman is riding her bicycle down the street.,A person is on a bike.,1442
0,People stand by a rocky cliff with water below.,People are sitting on a couch.,1443
1,A girl is performing a wheelie on her bicycle in front of a gray cinder block building.,A girl is on a bicycle.,1446
1,Two men are sitting on a park bench serenading people walking through the park at night.,There are two men on a bench.,1452
0,A person wearing orange overalls stands on the sidewalk.,The man is swimming at the beach.,1453
0,A blond Caucasian woman in a blue shirt wearing a straw hat.,A blond black woman in a blue shirt wearing a straw hat to goto the park.,1456
0,Two guys riding skateboards with one of them performing a jump trick.,Two guys hanging in their room.,1462
0,A little girl and her younger sibling are seated behind an adult who is taking them on a bike ride near forested hills on a sunny day.,The girls and the adult are going on a bike ride to the restaurant.,1464
1,A man with glasses reads through a menu on the lake-side patio of a restaurant.,The man has glasses.,1465
1,A person wearing slacks and a backpack climbs a ladder up the side of the rock face of a gorge.,There is a person wearing slacks and a backpack climbing a ladder.,1466
0,Four men concentrating in an office setting.,A woman is eating lunch.,1468
0,Man looks out of second story window.,A man is looking out a second story window for his friend.,1471
1,"A person walks among large, white geometric shaped architecture.",A person is walking.,1475
1,A man in khakis is standing in a doorway.,A man is standing in doorway.,1479
0,Blond woman in glasses holds an Asian child wearing pink at a park.,A black haired man holds a black baby wearing orange at a zoo.,1487
1,A young boy walks with a bucket on top of his head.,A young boy with a bucket is walking.,1491
0,Two construction workers work on a road.,Two people eating lunch in a car.,1499
1,Men playing in a soccer game in front of a crowd.,The men are playing a sport.,1503
1,A small dog runs with a brown ball in its mouth.,A dog is running.,1512
0,A man with long hair talking on phone.,The man is talking to his daughter.,1514
1,A young woman is jumping by a child's lawn chair.,a young woman is by a chair,1526
1,A woman wearing a gray sweatshirt is eating.,A woman is eating.,1533
1,A man sings into a microphone on a stage.,A man is singing.,1538
1,"A ballerina dressed in yellow is dancing, on a stage.",A person dances on stage.,1551
0,A lone clown adding some much needed color to the world.,A mime is crying hysterically.,1552
1,"Man with black suit on, on some type of glider in ocean, attached to parachute.",A man gliding in the ocean.,1556
1,a man in a green t-shirt is skateboarding along a graffiti covered wall in front of a blue door.,there is a skater outside,1559
0,A group of people in white jackets are walking in a town street.,A group of doctors walk down the sidewalk.,1577
1,Many people are dancing outside at night under hanging lights.,People are dancing.,1579
0,A middle-aged man wearing a blue shirt is playing a saxophone.,The man is wearing a green shirt and playing the trombone.,1581
1,A woman with brown hair is wearing a purple shirt and a white purse.,The woman is wearing a shirt.,1585
1,A man with glasses vacuuming his lawn.,A man is vacuuming his lawn.,1591
1,"Two men, wearing hard hats and blue and yellow coats stand in front of a large machine and smile.",There are men standing near a machine.,1593
0,Four dogs two brown and two white playing in the grass.,Two brown and two white dogs are chasing tennis balls in the grass.,1594
0,Three men are standing in a police boat with many rocks behind them.,The men are waiting for a perp.,1601
1,A group of young adults standing inside near a Pabst Blue Ribbon beer display.,There is a beer display,1604
1,A guy in his scuba gear is having a conversation with other men.,Scuba gear guy in conversation with other men.,1611
0,A snowboarder is in the air above a ramp of snow.,A snowboarder performs a trick at the olympics,1618
1,A man and a woman wearing white shirts in a wooded area.,A man and a woman wear white shirts outdoors.,1632
0,A brown dog chases a blond one in the grass.,The dog is swimming in the pool.,1633
0,The men are sitting by a fire outside with two black dogs.,The women are sitting by a fire and roasting marshmallows.,1641
1,A tan and white dog walks in the sand on a nice day.,A dog outside.,1642
0,A man wearing japanese clothes shoots an arrow at a target.,A man drinking soft drink,1645
1,A man is playing with a dog in some water.,There is a man and dog outdoors.,1649
0,A woman is holding a little girl who is trying to catch bubbles.,The girl is trying to catch a ball thrown by her father.,1652
1,Two small children walk down a sandy beach.,Two children walk on a beach.,1666
0,A Japanese girl sitting on a rock surrounded by a field.,A Chinese girl is sitting in a chair on the plain.,1677
1,"A man in a safety vest and black hat wearing rubber gloves is crouched down on a corner of an intersection, doing something with a stick.",The man is wearing a vest.,1685
0,Two Asian women are sitting at a table enjoying their foods.,Two Asian women are sitting at a table enjoying their foods in the chinese restaurant.,1686
1,A group of men looking over a section of wooded land.,The men are looking at something.,1699
0,A man is decorating a cake.,The cake is for his wife.,1701
0,A round table with printed matter ready for a meeting.,This is a corporate board room.,1706
1,"Woman in pink shirt and black shorts, holding a blue shovel, shoveling white snow.",A woman is shoveling snow.,1711
1,Man does a skateboard trick on green barrel.,A man is skateboarding.,1715
1,A man in a red jacket eats from a Subway wrapper.,A man is eating,1719
1,A group of children sitting in chairs with monitors over them.,The kids are in chairs.,1726
1,Photographers snap pictures of unseen subject.,Photographers take  pictures of something.,1731
0,Two people drive a Jeep while a lady sits on the top of it.,Two people are in the pool.,1740
0,A man holding a newborn baby.,A man is holding his wife.,1743
1,Two men playing basketball on a wooden court with a referee standing behind them.,men playing basketball,1746
1,A young woman shows off her artwork on a wall.,There is art on a wall.,1752
1,A popcorn or snack vendor sitting in a wooden chair outside next to her wares.,A popcorn or snack vendor is sitting down outdoors.,1760
1,A man in a hooded sweatshirt sitting on a toolbox.,A man is sitting.,1762
1,A man wearing a yellow shirt and tan pants plays golf outside while being watched by other people.,People are watching a man play golf.,1764
1,"Orange construction trucks travel down a littered four-lane street in the middles of a concrete, urban downtown.",A truck travels down a street.,1766
0,A man in a blue jersey and orange visor threw a frisbee along a grass hill.,The man is playing frisbee by himself because he is bored.,1770
1,A boy holding a silver helmet is staring at something.,a boy holding a helmet is staring at something,1771
1,Passengers on public transportation listening to music through portable devices.,The people are listening to music.,1787
1,Snowboarder holding onto board while in midair.,A snowboarder holds something.,1788
1,A cowboy Roping a calf in a rodeo.,A person is performing.,1795
0,A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.,The  young man is looking to see if dinner is ready yet.,1802
0,A man and a woman are sharing a dishwashing task in a kitchen at the sink.,The man and the woman work at a famous restaurant.,1810
1,Two women in period dress sitting in a doorway.,The women are wearing clothing.,1812
1,A man with a long beard is standing outside a brick building.,A man is standing.,1815
1,Two women and a child celebrating at a nighttime party.,There are two women and a child at the party.,1823
