label,sentence1,sentence2,sample_index
0,"Three people sit in chairs on the grass facing each other, while three more people in the distance by some trees watch them.",People are gathering.,955
0,A person walking by buildings and cars.,A person is walking to the store.,956
1,Two people hiking and a woman in a yellow shirt looking back at the camera.,Two people are outside.,959
1,People walking around looking at furniture.,Shoppers examine products.,963
0,A black dog lays next to a ball.,A white cat jumps over a stick,966
1,A man in a long gray overcoat stands in a courtyard as snowfalls.,The man is outside.,968
1,A little boy with rain boots takes a walk in the park.,A boy with rain boots is outside.,974
1,A man is jumping on a sheet of ice near a lake with a video camera in his hand.,A man is outside near a frozen lake creating holes.,980
0,A little girl in a white jacket holding a piglet toy.,The little girl is holding a toy car.,984
0,A man and woman are having a conversation while sitting on a tree stump in the woods.,They are in the cabin of an airplane.,986
0,The man is carrying tins and taking them somewhere.,The man is crying over the collectible tins scattered all over the floor.,987
0,"A young man in a group band playing a French Horn, with other musicians all around and large gold drapery in the background.",The young man is playing a flute,988
0,Three dogs running through water.,Three dogs are running in the creek at the park.,995
0,A kid jumping over a ditch in the forest.,A kid is swimming in a lake.,1000
0,Two gray dogs swimming in a lake to retrieve a white toy.,Two dogs chase a stick.,1007
0,Six people standing on a sidewalk around a blue trashcan.,People are recycling,1012
1,A boy in a blue shirt plays the cello while a girl plays a drum.,Some people are playing music.,1015
1,bull riding with people watching,There are people watching the bulls.,1016
0,Two yellow dogs play in a green plastic pool.,The dogs are trying to cool off.,1021
0,A girl with a bucket of water is being chased by a boy with a bucket of water.,The children are tossing water balloons.,1028
1,The girl in the pink clothing scribbled in the sand with her finger while a girl clad in a blue green shirt looked in the ocean.,Two girls are at the beach.,1040
1,Two people are standing on a cliff,"There are two people in this picture, and they are both outside.",1045
0,A man in a plaid shirt with a laptop in his lap is sitting next to a table with a microscope and a circuit board on it.,A  man is conducting an experiment at his desk.,1048
1,man wearing brown pants and light blue shirt carrying flags.,A person carrying flags.,1050
1,A group of people stand and look at a kid who jumped.,A group of people are watching a kid.,1058
0,"A man hangs on to a strand of cloth with his big toe, his fingers and his teeth while standing on a platform by a river.",The man wrapped in cloth has fallen into the river.,1059
1,This man's dog looks surprised.,A man's dog is shocked.,1060
0,"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",The crowds are at an indoor swimming meet.,1062
0,Two little girls eating some food on some steps.,Two little girls eating some carrots on some steps.,1063
0,"Two teams, one wearing green, one wearing red, playing a game of soccer.",The teams are playing a practice game.,1065
1,One dog is jumping into a pool while another runs along side the pool's edge.,Two dogs are active near a pool.,1066
0,A foreign family is walking along a dirt path next to the water.,A family of foreigners walks by the lake.,1069
0,Two dogs on hind legs with faces near each other on a grassy field.,Two dogs sleep.,1072
1,The Amsterdam tourist information office and people walking by.,people walking by,1077
0,A man climbing a cliff with a forest in the background.,dog chased by lion,1081
1,Young women playing a intense game of lacrosse.,Some women play a sport,1098
1,Two blond children play with sticks in the grass.,Two towheaded kids play outside with tree branches.,1100
1,A furry brown dog carries his toy in mouth outside.,A dog has a toy.,1120
0,A dog is running in the ocean beside the beach.,The dog is running and swimming.,1122
1,Triangular blue and red flags flutter in the wind.,The flags are moving.,1125
1,Some South American children walk a bike through the beach.,Some children walk with a bike on the beach.,1133
1,A young boy in a yellow shirt plays with some equipment.,A young person in a yellow shirt plays with some equipment.,1136
1,"A man, wearing a helmet, biking though grass and dirt.",A man biking.,1148
1,A parade of people wearing blue waistcoats and white t-shirts proceeds down the center of a street.,There are a bunch of people walking on a street,1150
0,A birds-eye view of a sidewalk with many people.,A view of the street with many cars.,1154
1,A woman stands with a plastic bag.,A woman is holding a bag.,1165
1,The two man is busy cementing the road.,men cementing road,1167
0,The skateboarder does a trick on a ramp.,A small boy does a kick flip off a large brown ramp.,1177
1,A man without a shirt standing on a roof.,A person without a shirt standing on a roof.,1179
0,A man on a bicycle sits at a stoplight with headphones on.,A man is performing a stunt on a moped.,1184
1,A young polo player wearing an orange jersey riding a horse.,a polo player rides,1191
1,A black and tan dog walking through the snow.,A dog is surrounded by snow.,1198
1,A group of tourists aboard a small and colorful boat in the waters of a Southeast Asian country.,The tourists are outdoors.,1202
0,"There is a woman, who is all dressed up in a beautiful multicolored tutu with a tiara, doing a split in midair for a performance.",A ballerina in a tutu and tiara is performing on stage.,1205
1,A soccer player catches the ball and is tackled.,The soccer player caught the ball.,1214
0,A child is making a ridiculous face with an open mouth on the swings.,A child is making silly faces and noises as they swing high up into the air.,1218
0,two basketball teams playing a game on the court.,The teams are playing the championship game.,1229
1,Windsurfer in teal top flying on his boogie board.,A windsurfer dressed in teal is on his boogie board.,1239
1,A male tap dancer wearing black suspenders and a dress shirt is in front of a musical trio on a stage with one leg raised as he is in the middle of a dance move.,"A male performer dances in the front of the stage, while musicians play behind him.",1240
1,Person in small boat in the ocean close to shore.,Person in small boat floating close to beach.,1241
1,Firefighters respond to the scene of a motorcycle accident.,Firefighters are working at an accident.,1248
1,"An older man with a white beard stands in front of a mast on a large sailboat, while holding a rope.",The man has a white beard.,1249
1,A young girl is writing on a piece of paper with a purple pencil.,A girl writes on a piece of paper.,1252
0,A man is carefully skiing down a snow covered hill wearing a backpack.,The man runs down the ski path and into a tree.,1256
1,A woman wearing a backpack walks on the sidewalk while a car drives by.,A woman is walking outside.,1265
0,"A girl wearing a black and red, fur hooded jacket looks through a microscope.",The girl is eating lunch.,1266
0,Metal worker in protective gear and welding face mask works on weld.,The metal worker is putting away his gear,1267
1,A little girl naps on her couch with red pillows.,The girl is sleeping on a couch.,1274
1,A man with a white guitar plays with another in a striped shirt.,A guy is playing guitar.,1276
1,A Miami basketball player looks off in the distance.,the play is from miami,1279
0,A young girl celebrating her team after winning world series in the world finals held in texas.,Texas world finals is celebrated by a team,1286
1,A man and a woman relaxing outside and the man is also cleaning.,The man and women are relaxing,1290
0,Two people sit on a well kept stone path that overlooks a large body of water.,Two people are taking pictures on the well.,1291
0,An elderly Asian woman with a cane walking in front of several yellow and white flowered reefs.,An old woman sits on a bench.,1296
0,"Two men- one wearing a blue cap, two-toned blue shirt, and gray trousers, the other hatless and in dark-colored shorts- stand in a green cherry-picker amid utility wires and leafy tree-tops.",Two men are repairing telephone lines.,1300
1,The traffic lights are painted yellow,The traffic lights are painted.,1301
1,"A man with white hair, blue jeans, and a white T-shirt chiseling an object.",The man chiseled an object.,1304
1,A person reads to a group of boys.,"There are multiple people, at least some of whom are male.",1306
1,A girl wearing a black shirt and pink pants playing tennis on a tennis court.,a girl hanging at a tennis court,1308
1,A sledder is making a jump over other kids lying in the snow.,A person sledding in the snow.,1312
0,A man in a green shirt is skating on a railing.,A man in a red shirt skates on the sidewalk,1316
1,"A boat is just off the beach with three people standing on it, and the two people loading something on the boat.",a boat off the beach,1324
0,Two policemen in yellow and black uniforms are riding bikes.,The policemen are wearing vests.,1331
1,"Closeup picture of a base player and a drummer in a rock band, playing at a live show.",Picture of a live rock show.,1333
0,Children at a religious ceremony looking around in surprise.,The children are in a youth group.,1341
1,Two men having an intense discussion over drinks.,People are inside.,1342
1,A gray dog is walking through a grassy field.,There is an animal outside.,1343
1,a man wearing ear defenders is shooting a pistol at a white target.,a man shooting a gun at a target,1353
1,A young man is standing in the kitchen holding a large casserole dish.,A man is preparing to serve a casserole dish in his kitchen.,1365
0,"A group of children, boys and girls, dressed in blue choir robes are standing in front of an audience.",two boys preach to a group of sheep,1367
1,"Six musicians- four violinists, a cellist, and a drummer, play on stage for an audience.",The musicians are in a band.,1380
0,Two men with guitars singing and playing their guitars in a darkened venue.,Musicians are expressing their talents at a concert.,1386
0,A group of people on a hot day playing in a cool fountain.,The people are splashing and playing in the fountain.,1387
1,A snowboarder dressed in yellow makes a jump.,There is a snowboarder.,1388
1,People gather in an gymnasium for an assembly.,Some people are in a gym.,1389
1,a girl in a red and black uniform is playing the flute as part of a marching band.,A girl is playing the flute.,1390
0,A team of chefs work to prepare a meal.,Chefs take a break smoking outside.,1394
0,Synchronized swimmer water-dancing in a pool during a performance.,The swimmer is swimming through lava.,1409
0,Two people on cellphones walk down the sidewalk while a vendor stands there and a man is eating.,A man is eating ice cream.,1435
1,Man in black with one foot on top of a ladder and arms performing a task on a storefront.,A man performs a task.,1440
1,A woman is riding her bicycle down the street.,A person is on a bike.,1442
0,Two paramedics are tending to an injured person.,Some people are sleeping.,1460
1,A person wearing slacks and a backpack climbs a ladder up the side of the rock face of a gorge.,There is a person wearing slacks and a backpack climbing a ladder.,1466
0,A young man in a black shirt playing a xylophone.,A young man plays the xylophone during a musical concert,1481
0,A dog is running through a lake towards some trees.,A dog digging a hole,1484
0,A dog trying to bite a man who is training him,Dog is licking his owner,1495
0,A man wearing a white shirt is talking to a woman wearing a green blouse on the street,"Two people are not talking, but only sitting near one another.",1500
1,"Two guys in a mirror, one has no shirt on and the other has a black shirt and it shaving.",two guys are in a mirror,1521
1,Three girls wearing red and white walk with a parade.,Multiple people are in a parade.,1523
1,Large crowd of people wait in line at a bus terminal.,"People form a line, waiting for the bus.",1524
0,"Man on the street, in blue striped shirt, talking to a man with glasses.",One man is berating another man.,1525
0,A man with a white shirt is sitting at a table in a room with other people and posters along the blue wall.,The people are outside digging in the dirt.,1528
1,A group of children listening to a teacher read a story in the library.,Children listen to a teacher read a story.,1531
0,two sumo wrestlers fighting in a match,Two sumo wrestlers are feasting in preparation for a match.,1540
1,2 men and a woman outside by a canadian flag.,A small group of people are outdoors.,1542
1,Two men in plaid shirts riding horses and they are lassoing a calf.,Two men on top of horses,1555
0,The dog walks through the water.,The cat scampers.,1560
0,A young woman wearing a turtleneck and black jacket is smiling for a picture.,the young women wearing and smiling face for picture,1571
0,A middle-aged man wearing a blue shirt is playing a saxophone.,The man is wearing a green shirt and playing the trombone.,1581
1,A woman with brown hair is wearing a purple shirt and a white purse.,The woman is wearing a shirt.,1585
1,A man with glasses vacuuming his lawn.,A man is vacuuming his lawn.,1591
0,Three men are standing in a police boat with many rocks behind them.,The men are waiting for a perp.,1601
1,A group of young adults standing inside near a Pabst Blue Ribbon beer display.,There is a beer display,1604
0,"A man wearing a thick-striped orange shirt, bandanna and dreadlocks at a bowling alley is in a pose as if he just rolled a bowling bowl.",A man with closely cropped hair bowls his ball in a bowling alley.,1605
1,A boy wearing blue shorts is doing a back flip in the air under a tree.,THe boy is outside,1607
1,"One man clapping, another man taking a photograph, and several spectators fill this scene.",A man is clapping.,1619
1,A girl in a yellow shirt walks with her hands in her pocket on a bridge.,A woman is outside.,1622
1,"Four children at a skate park, one in rollerblades and three riding scooters.",The children are riding around at the skate park.,1625
0,A brown dog chases a blond one in the grass.,The dog is swimming in the pool.,1633
1,An old man with glasses is sleeping on a bench.,The old man is tired.,1636
0,Men singing blues in one of the lovely orchestra episodes courtesy of Shell corporation of America.,a man is a musician.,1639
0,Many people wearing numbered pieces of paper run down a street.,"There's a group of dancers, dancing.",1640
0,A man wearing japanese clothes shoots an arrow at a target.,A man drinking soft drink,1645
0,Three children sit on the grass.,Three children are having a picnic.,1646
1,A man in an orange shirt is standing next to a railway line.,The man has feet on the ground.,1648
0,Orange clad workers removing snow from steps on a cold winter's day.,a group of cheerleaders dancing,1663
1,A golfer wearing a striped red polo shirt and white pants watches his drive after swinging.,A man wearing a nice outfit is looking at the shot he just hit.,1664
1,Two boys performing what appears to be a kissing scene in lunch room.,Two boys filming a movie.,1667
1,"Two couples are passionately embracing on a beach, while an elderly couple looks on from above.",Two couples are passionately embracing,1678
0,A girl swings her little brother around in a courtyard.,A girl cannot see her feet.,1679
1,A little boy wearing blue shorts is holding a yellow noodle over a pool.,A little boy is playing at the pool.,1682
1,"A man in a safety vest and black hat wearing rubber gloves is crouched down on a corner of an intersection, doing something with a stick.",The man is wearing a vest.,1685
0,Two Asian women are sitting at a table enjoying their foods.,Two Asian women are sitting at a table enjoying their foods in the chinese restaurant.,1686
0,a special of the day board at a restaurant.,There are lunch specials at this restaurant.,1687
1,"There is a woman at the window of a building getting ready to hang a small piece of clothing on a clothesline right outside, which already contains some articles of clothing.",A woman is hanging laundry.,1689
1,A woman in a casino stands at an ATM to withdraw money.,The person who is shown wants to take money out of their bank account.,1693
1,A man is taking bath in his work area.,A man is taking a bath.,1704
1,Two men working outside cleaning the street in their orange uniforms.,Two men are cleaning the streets.,1707
0,a woman dives into the water.,a woman practicing for a swim competition,1709
1,Two women in tank tops and sunglasses walk together.,Two women wear tank tops and sunglasses.,1712
0,A little brown dog has a ball in its mouth.,An animal is sleeping.,1725
0,A man takes a picture of his friend with performers.,A man takes a picture of his female friend.,1733
1,"Man sitting on a bench in a wooded park, watching people walk past.",A man is in a park.,1734
0,A pro golfer tries to get his ball out of a tough spot.,An ametuer golfer tees off.,1735
0,"Someone out Kayaking, Near a town, it is a beautiful day.",It is raining as they are kayaking,1742
