label,sentence,sample_index
1,bogdanovich puts history in perspective and via kirsten dunst s remarkable performance he showcases davies as a young woman of great charm generosity and diplomacy,294
1,with the same sort of good natured fun found in films like tremors eight legged freaks is prime escapist fare,301
1,a sharp amusing study of the cult of celebrity,302
1,a coming of age tale from new zealand whose boozy languid air is balanced by a rich visual clarity and deeply felt performances across the board,306
1,a hugely rewarding experience that s every bit as enlightening insightful and entertaining as grant s two best films four weddings and a funeral and bridget jones s diary,310
1,a rip roaring comedy action fest that ll put hairs on your chest,311
1,an enjoyable if occasionally flawed experiment,316
1,miyazaki is one of world cinema s most wondrously gifted artists and storytellers,317
1,leigh is one of the rare directors who feels acting is the heart and soul of cinema,320
1,i found the ring moderately absorbing largely for its elegantly colorful look and sound,327
1,amari has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances,329
1,here is a divine monument to a single man s struggle to regain his life his dignity and his music,335
1,elegant mannered and teasing,337
1,the ingenuity that parker displays in freshening the play is almost in a class with that of wilde himself,338
1,with each of her three protagonists miller eloquently captures the moment when a woman s life out of a deep seated emotional need is about to turn onto a different path,341
0,imperfect,345
1,vividly conveys the passion creativity and fearlessness of one of mexico s most colorful and controversial artists a captivating drama that will speak to the nonconformist in us all,352
1,i ve never bought from telemarketers but i bought this movie,357
1,a highly spirited imaginative kid s movie that broaches neo augustinian theology is god stuck in heaven because he s afraid of his best known creation,362
1,raimi and his team could n t have done any better in bringing the story of spider man to the big screen,364
0,watching a brian depalma movie is like watching an alfred hitchcock movie after drinking twelve beers,374
1,strip it of all its excess debris and you d have a 90 minute four star movie,375
1,this beautifully animated epic is never dull,379
1,but it s defiantly and delightfully against the grain,384
1,the hard to predict and absolutely essential chemistry between the down to earth bullock and the nonchalant grant proves to be sensational and everything meshes in this elegant entertainment,385
1,definitely funny stuff but it s more of the laughing at variety than the laughing with,388
1,a real winner smart funny subtle and resonant,390
1,family portrait of need neurosis and nervy negativity is a rare treat that shows the promise of digital filmmaking,391
0,a decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies,394
1,the performances are remarkable,395
1,strange funny twisted brilliant and macabre,400
1,plays out with a dogged and eventually winning squareness that would make it the darling of many a kids and family oriented cable channel,403
1,an entertaining british hybrid of comedy caper thrills and quirky romance,404
1,a directorial tour de force by bernard rose ivans xtc,409
1,even the digressions are funny,412
1,at the end when the now computerized yoda finally reveals his martial artistry the film ascends to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside,417
1,it s hard to imagine anybody ever being in the mood to view a movie as harrowing and painful as the grey zone but it s equally hard to imagine anybody being able to tear their eyes away from the screen once it s started,419
1,just about the surest bet for an all around good time at the movies this summer,427
1,a delicious quirky movie with a terrific screenplay and fanciful direction by michael gondry,431
1,catch me feels capable of charming the masses with star power a pop induced score and sentimental moments that have become a spielberg trademark,441
1,this movie may not have the highest production values you ve ever seen but it s the work of an artist one whose view of america history and the awkwardness of human life is generous and deep,454
0,though it s not very well shot or composed or edited the score is too insistent and the dialogue is frequently overwrought and crudely literal the film shatters you in waves,455
1,young hanks and fisk who vaguely resemble their celebrity parents bring fresh good looks and an ease in front of the camera to the work,458
1,while the film is not entirely successful it still manages to string together enough charming moments to work,466
1,a winning piece of work filled with love for the movies of the 1960s,467
1,jackson and co have brought back the value and respect for the term epic cinema,470
1,a delightful stimulus for the optic nerves so much that it s forgivable that the plot feels like every other tale of a totalitarian tomorrow,474
1,writer and director otar iosseliani s pleasant tale about a factory worker who escapes for a holiday in venice reveals how we all need a playful respite from the grind to refresh our souls,477
1,begins on a high note and sustains it beautifully,481
0,it is a popcorn film not a must own or even a must see,488
1,thanks to confident filmmaking and a pair of fascinating performances the way to that destination is a really special walk in the woods,492
1,a buoyant romantic comedy about friendship love and the truth that we re all in this together,499
1,gaunt silver haired and leonine harris brings a tragic dimension and savage full bodied wit and cunning to the aging sandeman,502
1,a three hour cinema master class,504
1,a movie that will surely be profane politically charged music to the ears of cho s fans,510
1,rarely a movie is more than a movie,512
1,jacquot s strategy allows his cast the benefit of being able to give full performances while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself,513
1,by not averting his eyes solondz forces us to consider the unthinkable the unacceptable the unmentionable,514
0,one hour photo may seem disappointing in its generalities but it s the little nuances that perhaps had to escape from director mark romanek s self conscious scrutiny to happen that finally get under your skin,515
1,an interesting look behind the scenes of chicago based rock group wilco,519
1,sharp edges and a deep vein of sadness run through its otherwise comic narrative,520
0,the ya ya s have many secrets and one is the books are better,523
1,translating complex characters from novels to the big screen is an impossible task but they are true to the essence of what it is to be ya ya,524
1,the touch is generally light enough and the performances for the most part credible,525
1,i liked about schmidt a lot but i have a feeling that i would have liked it much more if harry tonto never existed,526
0,once the downward spiral comes to pass auto focus bears out as your typical junkie opera,529
1,the hot topics of the plot are relegated to the background a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty,536
1,it s usually a bad sign when directors abandon their scripts and go where the moment takes them but olympia wash based filmmakers anne de marcken and marilyn freeman did just that and it s what makes their project so interesting,537
1,executed with such gentle but insistent sincerity with such good humor and appreciation of the daily grind that only the most hardhearted scrooge could fail to respond,539
1,asks what truth can be discerned from non firsthand experience and specifically questions cinema s capability for recording truth,545
1,a film of ideas and wry comic mayhem,552
1,stanley kwan has directed not only one of the best gay love stories ever made but one of the best love stories of any stripe,556
1,you wo n t have any trouble getting kids to eat up these veggies,559
1,light years ahead of paint by number american blockbusters like pearl harbor at least artistically,562
1,a fascinating documentary about the long and eventful spiritual journey of the guru who helped launch the new age,563
1,a fascinating bombshell documentary that should shame americans regardless of whether or not ultimate blame finally lies with kissinger,569
1,adaptation s success in engaging the audience in the travails of creating a screenplay is extraordinary,571
0,while each moment of this broken character study is rich in emotional texture the journey does n t really go anywhere,574
1,the film gets close to the chimps the same way goodall did with a serious minded patience respect and affection,575
1,a sly female empowerment movie although not in a way anyone would expect,580
0,the paradiso s rusted out ruin and ultimate collapse during the film s final restored third emotionally belittle a cinema classic,583
1,whatever complaints i might have i d take its earnest errors and hard won rewards over the bombastic self glorification of other feel good fiascos like antwone fisher or the emperor s club any time,588
1,a pretty decent kid pleasing tolerable to adults lark of a movie,590
1,even during the climactic hourlong cricket match boredom never takes hold,591
1,if the film has a problem its shortness disappoints you want the story to go on and on,595
1,the bai brothers have taken an small slice of history and opened it up for all of us to understand and they ve told a nice little story in the process,600
1,real women may have many agendas but it also will win you over in a big way,603
1,morvern callar confirms lynne ramsay as an important original talent in international cinema,606
1,a plethora of engaging diatribes on the meaning of home delivered in grand passion by the members of the various households,608
1,it s technically sumptuous but also almost wildly alive,609
1,an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation,614
1,it s no lie big fat liar is a real charmer,616
1,pray has really done his subject justice,619
1,west coast rap wars this modern mob music drama never fails to fascinate,623
1,a creepy intermittently powerful study of a self destructive man about as unsettling to watch as an exploratory medical procedure or an autopsy,628
1,pacino and williams seem to keep upping the ante on each other just as their characters do in the film,629
1,muccino seems to be exploring the idea of why human beings long for what they do n t have and how this gets us in trouble,634
1,but even while his characters are acting horribly he is always sympathetic,635
1,i ve never seen or heard anything quite like this film and i recommend it for its originality alone,638
1,a taut sobering film,645
1,exudes the fizz of a busby berkeley musical and the visceral excitement of a sports extravaganza,646
1,transcends its agenda to deliver awe inspiring at times sublime visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring do puts the x into the games,659
0,there is no solace here no entertainment value merely a fierce lesson in where filmmaking can take us,661
1,but the talented cast alone will keep you watching as will the fight scenes,663
1,while insomnia is in many ways a conventional even predictable remake nolan s penetrating undercurrent of cerebral and cinemantic flair lends it stimulating depth,666
1,efteriades gives the neighborhood scenery vibe and all the cinematic equivalent of a big tender hug,667
1,the amazing film work is so convincing that by movies end you ll swear you are wet in some places and feel sand creeping in others,671
1,if you ever wanted to be an astronaut this is the ultimate movie experience it s informative and breathtakingly spectacular,673
1,a smart sassy and exceptionally charming romantic comedy,675
1,for those who are intrigued by politics of the 70s the film is every bit as fascinating as it is flawed,686
1,douglas mcgrath s nicholas nickleby does dickens as it should be done cinematically,688
1,it s fun wispy wise and surprisingly inoffensive for a film about a teen in love with his stepmom,692
1,kinnear s performance is a career defining revelation,698
1,the film is predictable in the reassuring manner of a beautifully sung holiday carol,699
1,that old adage about women being unknowable gets an exhilarating new interpretation in morvern callar,704
1,offers a clear eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film,709
1,a bright inventive thoroughly winning flight of revisionist fancy,713
1,affirms the gifts of all involved starting with spielberg and going right through the ranks of the players on camera and off that he brings together,715
1,a delightful little film that revels in its own simplicity mostly martha will leave you with a smile on your face and a grumble in your stomach,716
1,makes one thing abundantly clear,717
1,pan nalin s exposition is beautiful and mysterious and the interviews that follow with the practitioners of this ancient indian practice are as subtle and as enigmatic,722
1,the mood look and tone of the film fit the incredible storyline to a t,723
1,it s funny and human and really pretty damned wonderful all at once,726
1,a strangely stirring experience that finds warmth in the coldest environment and makes each crumb of emotional comfort feel like a 10 course banquet,728
1,danny huston gives an astounding performance that deftly gradually reveals a real human soul buried beneath a spellbinding serpent s smirk,732
1,a different movie sometimes tedious by a director many viewers would like to skip but film buffs should get to know,738
1,a vibrant whirlwind of love family and all that goes with it my big fat greek wedding is a non stop funny feast of warmth colour and cringe,740
1,as part of mr dong s continuing exploration of homosexuality in america family fundamentals is an earnest study in despair,749
1,most consumers of lo mein and general tso s chicken barely give a thought to the folks who prepare and deliver it so hopefully this film will attach a human face to all those little steaming cartons,750
1,uneven self conscious but often hilarious spoof,753
0,even bigger and more ambitious than the first installment spy kids 2 looks as if it were made by a highly gifted 12 year old instead of a grown man,754
1,an awfully good achingly human picture,760
1,the film jolts the laughs from the audience as if by cattle prod,762
1,funny sexy devastating and incurably romantic,766
1,when you ve got the wildly popular vin diesel in the equation it adds up to big box office bucks all but guaranteed,768
1,very well written and very well acted,769
1,a powerful and telling story that examines forbidden love racial tension and other issues that are as valid today as they were in the 1950s,770
1,chilling in its objective portrait of dreary lost twenty first century america,774
1,highly recommended as an engrossing story about a horrifying historical event and the elements which contributed to it,775
1,secretary manages a neat trick bundling the flowers of perversity comedy and romance into a strangely tempting bouquet of a movie,778
1,confessions may not be a straightforward bio nor does it offer much in the way of barris motivations but the film is an oddly fascinating depiction of an architect of pop culture,784
1,a real pleasure in its laid back way,791
1,though it runs 163 minutes safe conduct is anything but languorous,792
1,a much better documentary more revealing more emotional and more surprising than its pedestrian english title would have you believe,793
1,a well crafted film that is all the more remarkable because it achieves its emotional power and moments of revelation with restraint and a delicate ambiguity,795
1,my big fat greek wedding is that rare animal known as a perfect family film because it s about family,797
1,it s soulful and unslick and that s apparently just what aniston has always needed to grow into a movie career,804
1,a jaw droppingly beautiful work that upends nearly every cliché of japanese animation while delivering a more than satisfactory amount of carnage,806
1,begins like a docu drama but builds its multi character story with a flourish,813
1,one of the most genuinely sweet films to come along in quite some time,814
1,after an uncertain start murder hits and generally sustains a higher plateau with bullock s memorable first interrogation of gosling,815
1,at times a bit melodramatic and even a little dated depending upon where you live ignorant fairies is still quite good natured and not a bad way to spend an hour or two,822
1,tense terrific sweaty palmed fun,823
1,majidi s direction has never been smoother or more confident,824
1,what a bewilderingly brilliant and entertaining movie this is,825
1,hard endearing caring warm,826
1,bring tissues,827
1,it s a square sentimental drama that satisfies as comfort food often can,830
1,ramsay is clearly extraordinarily talented and based on three short films and two features here s betting her third feature will be something to behold,832
1,fincher s camera sense and assured pacing make it an above average thriller,846
1,a lot of the credit for the film s winning tone must go to grant who has n t lost a bit of the dry humor that first made audiences on both sides of the atlantic love him,849
1,a journey that is as difficult for the audience to take as it is for the protagonist yet it s potentially just as rewarding,851
1,from its invitingly upbeat overture to its pathos filled but ultimately life affirming finale martin is a masterfully conducted work,853
1,passions obsessions and loneliest dark spots are pushed to their most virtuous limits lending the narrative an unusually surreal tone,854
1,blade ii merges bits and pieces from fighting games wire fu horror movies mystery james bond wrestling sci fi and anime into one big bloody stew,860
1,contrived as this may sound mr rose s updating works surprisingly well,863
1,a lovely film elegant witty and beneath a prim exterior unabashedly romantic hugely enjoyable in its own right though not really faithful to its source s complexity,870
1,a devastatingly powerful and astonishingly vivid holocaust drama,872
1,worth a look as a curiosity,876
1,director peter kosminsky gives these women a forum to demonstrate their acting chops and they take full advantage,878
1,a gorgeously strange movie heaven is deeply concerned with morality but it refuses to spell things out for viewers,884
1,the emperor s club ruthless in its own placid way finds one of our most conservative and hidebound movie making traditions and gives it new texture new relevance new reality,885
1,it s truly awful and heartbreaking subject matter but one whose lessons are well worth revisiting as many times as possible,886
1,it is philosophy illustrated through everyday events,892
1,gives an intriguing twist to the french coming of age genre,894
1,offers an interesting look at the rapidly changing face of beijing,895
1,features what is surely the funniest and most accurate depiction of writer s block ever,899
1,it s bright pristine style and bold colors make it as much fun as reading an oversized picture book before bedtime,901
1,bravo for history rewritten and for the uncompromising knowledge that the highest power of all is the power of love,902
1,lux now in her eighties does a great combination act as narrator jewish grandmother and subject taking us through a film that is part biography part entertainment and part history,906
1,it s as raw and action packed an experience as a ringside seat at a tough man contest,913
0,evokes the frustration the awkwardness and the euphoria of growing up without relying on the usual tropes,914
1,astonishingly skillful and moving it could become a historically significant work as well as a masterfully made one,917
1,beautifully crafted and cooly unsettling recreates the atmosphere of the crime expertly,918
1,the year 2002 has conjured up more coming of age stories than seem possible but take care of my cat emerges as the very best of them,919
1,the sight of the spaceship on the launching pad is duly impressive in imax dimensions as are shots of the astronauts floating in their cabins,920
1,an intriguing look at the french film industry during the german occupation its most delightful moments come when various characters express their quirky inner selves,922
1,judging by those standards scratch is a pretty decent little documentary,924
1,a beguiling evocation of the quality that keeps dickens evergreen the exuberant openness with which he expresses our most basic emotions,928
1,the stars may be college kids but the subject matter is as adult as you can get the temptations of the flesh are unleashed by a slightly crazed overtly determined young woman and a one night swim turns into an ocean of trouble,933
1,pretty good little movie,934
1,by turns touching raucously amusing uncomfortable and yes even sexy never again is a welcome and heartwarming addition to the romantic comedy genre,935
1,if you have n t seen the film lately you may be surprised at the variety of tones in spielberg s work,936
1,an entertaining mix of period drama and flat out farce that should please history fans,938
1,canada s arctic light shines bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people,939
1,the film s messages of tolerance and diversity are n t particularly original but one ca n t help but be drawn in by the sympathetic characters,943
1,yes it s as good as you remember,946
1,a stirring road movie,950
1,one of the best films i have ever seen constantly pulling the rug from underneath us seeing things from new sides plunging deeper getting more intense,951
1,i have n t laughed that hard in years,953
1,these people are really going to love the piano teacher,954
1,but it makes for one of the most purely enjoyable and satisfying evenings at the movies i ve had in a while,955
1,if lilo stitch is n t the most edgy piece of disney animation to hit the silver screen then this first film to use a watercolor background since dumbo certainly ranks as the most original in years,956
1,bowling for columbine remains a disquieting and thought provoking film,959
1,a low key labor of love that strikes a very resonant chord,963
1,a sentimental but entirely irresistible portrait of three aging sisters,966
1,in painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people the movie exalts the marxian dream of honest working folk with little to show for their labor living harmoniously joined in song,968
1,a fine effort an interesting topic some intriguing characters and a sad ending,971
1,there are moments of hilarity to be had,974
1,a hypnotic portrait of this sad compulsive life,975
1,like a tarantino movie with heart alias betty is richly detailed deftly executed and utterly absorbing,980
1,a movie i loved on first sight and even more important love in remembrance,983
1,deserves a place of honor next to nanook as a landmark in film history,984
1,but it does have one saving grace,987
1,this is lightweight filmmaking to be sure but it s pleasant enough and oozing with attractive men,988
1,at its most basic this cartoon adventure is that wind in the hair exhilarating,989
1,the film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet,991
1,gosling s combination of explosive physical energy and convincing intelligence helps create a complex unpredictable character,992
1,it s a cool event for the whole family,995
1,the re release of ron howard s apollo 13 in the imax format proves absolutely that really really really good things can come in enormous packages,1007
1,very well written and directed with brutal honesty and respect for its audience,1008
1,this is a superior horror flick,1012
1,the pleasure of read my lips is like seeing a series of perfect black pearls clicking together to form a string,1015
1,we re drawn in by the dark luster,1016
1,one of the best rock documentaries ever,1021
1,a tremendous piece of work,1028
1,not about scares but a mood in which an ominous pervasive and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense,1035
1,instead of simply handling conventional material in a conventional way secretary takes the most unexpected material and handles it in the most unexpected way,1040
1,filmmaker stacy peralta has a flashy editing style that does n t always jell with sean penn s monotone narration but he respects the material without sentimentalizing it,1043
1,it s light on the chills and heavy on the atmospheric weirdness and there are moments of jaw droppingly odd behavior yet i found it weirdly appealing,1045
1,the performances are uniformly good,1050
1,reign of fire just might go down as one of the all time great apocalypse movies,1058
1,a smart little indie,1059
1,payne has created a beautiful canvas and nicholson proves once again that he s the best brush in the business,1060
1,a riveting profile of law enforcement and a visceral nasty journey into an urban hades,1062
0,director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading,1063
1,i am not generally a huge fan of cartoons derived from tv shows but hey arnold,1065
1,the movie is clever offbeat and even gritty enough to overcome my resistance,1066
1,austin powers for the most part is extremely funny the first part making up for any flaws that come later,1069
0,as if trying to grab a lump of play doh the harder that liman tries to squeeze his story the more details slip out between his fingers,1076
1,my big fat greek wedding is not only the best date movie of the year it s also a dare i say it twice delightfully charming and totally american i might add slice of comedic bliss,1077
1,who knows but it works under the direction of kevin reynolds,1081
1,f rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative the film is blazingly alive and admirable on many levels,1082
1,clever and unflinching in its comic barbs slap her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up,1098
1,a generous inspiring film that unfolds with grace and humor and gradually becomes a testament to faith,1107
1,the film s constant mood of melancholy and its unhurried narrative are masterfully controlled,1118
1,this is a stunning film a one of a kind tour de force,1120
0,it s about as convincing as any other arnie musclefest but has a little too much resonance with real world events and ultimately comes off as insultingly simplistic,1122
1,the movie is well crafted and well executed,1131
1,it s anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother daughter pair,1136
1,it s affecting amusing sad and reflective,1139
1,writer director walter hill is in his hypermasculine element here once again able to inject some real vitality and even art into a pulpy concept that in many other hands would be completely forgettable,1141
1,once folks started hanging out at the barbershop they never wanted to leave,1145
1,can be viewed as pure composition and form film as music,1147
1,an extraordinary dramatic experience,1148
1,that in itself is extraordinary,1150
1,it zips along with b movie verve while adding the rich details and go for broke acting that heralds something special,1154
1,me without you has a bracing truth that s refreshing after the phoniness of female bonding pictures like divine secrets of the ya ya sisterhood,1155
0,it s a strange film one that was hard for me to warm up to,1156
1,jacquot has filmed the opera exactly as the libretto directs ideally capturing the opera s drama and lyricism,1160
1,this is dicaprio s best performance in anything ever and easily the most watchable film of the year,1165
1,even when there are lulls the emotions seem authentic and the picture is so lovely toward the end you almost do n t notice the 129 minute running time,1166
1,while dutifully pulling on heartstrings directors dean deblois and chris sanders valiantly keep punching up the mix,1167
1,manages to be wholesome and subversive at the same time,1169
1,a bittersweet drama about the limbo of grief and how truth telling can open the door to liberation,1182
1,salma goes native and she s never been better in this colorful bio pic of a mexican icon,1184
1,despite lagging near the finish line the movie runs a good race one that will have you at the edge of your seat for long stretches,1191
1,you can almost see mendes and company getting together before a single frame had been shot and collectively vowing this is going to be something really good,1202
1,she is a lioness protecting her cub and he a reluctant villain incapable of controlling his crew,1205
1,though the story is hackneyed the characters have a freshness and modesty that transcends their predicament,1208
1,brilliantly written and well acted yellow asphalt is an uncompromising film,1214
1,a fascinating literary mystery story with multiple strands about the controversy of who really wrote shakespeare s plays,1217
1,throughout mr audiard s direction is fluid and quick,1218
1,its director s most substantial feature for some time,1229
1,schepisi aided by a cast that seems to include every top notch british actor who did not appear in gosford park as well as one ms mirren who did has succeeded beyond all expectation,1239
1,watching this film one is left with the inescapable conclusion that hitchens obsession with kissinger is at bottom a sophisticated flower child s desire to purge the world of the tooth and claw of human power,1240
1,this charming but slight tale has warmth wit and interesting characters compassionately portrayed,1243
1,a return to pure disney magic and is enjoyable family fare,1245
1,a triumph of pure craft and passionate heart,1247
1,gosling creates a staggeringly compelling character a young man whose sharp intellect is at the very root of his contradictory self hating self destructive ways,1248
1,even as it pays earnest homage to turntablists and beat jugglers old schoolers and current innovators scratch is great fun full of the kind of energy it s documenting,1250
1,astonishing frames profound ethical and philosophical questions in the form of dazzling pop entertainment,1252
1,one of the very best movies ever made about the life of moviemaking,1254
1,an elegant and sly deadpan comedy,1256
0,but it s hardly a necessary enterprise,1262
1,a sensitive cultivated treatment of greene s work as well as a remarkably faithful one,1265
1,it s not just a feel good movie it s a feel movie,1266
1,you feel good you feel sad you feel pissed off but in the end you feel alive which is what they did,1267
1,what makes barbershop so likable with all its flaws is that it has none of the pushiness and decibel volume of most contemporary comedies,1269
1,the production design score and choreography are simply intoxicating,1273
1,a comedy that is warm inviting and surprising,1274
1,so vivid a portrait of a woman consumed by lust and love and crushed by betrayal that it conjures up the intoxicating fumes and emotional ghosts of a freshly painted rembrandt,1275
0,suspend your disbelief here and now or you ll be shaking your head all the way to the credits,1276
1,a beautifully tooled action thriller about love and terrorism in korea,1279
1,victor rosa is leguizamo s best movie work so far a subtle and richly internalized performance,1280
